Player,Nation,Pos,Age,MP,Starts,Min,90s,Gls,Ast,G+A,G  ,PK,PKatt,CrdY,CrdR,xG,npxG,xAG,npxG+xAG,PrgC,PrgP,PrgR,Gls,Ast,G+A,G  ,G+A  ,xG,xAG,xG+xAG,npxG,npxG+xAG,Matches
Caprice Dydasco,us USA,DF,32,25,25,"2,250",25,0,1,1,0,0,0,4,0,0.3,0.3,1.9,2.2,37,112,67,0,0.04,0.04,0,0.04,0.01,0.08,0.09,0.01,0.09,Matches
Taylor Huff,us USA,"MF,FW",23,25,25,"2,133",23.7,4,1,5,4,0,0,3,0,4.7,4.7,2.2,7,35,93,84,0.17,0.04,0.21,0.17,0.21,0.2,0.09,0.29,0.2,0.29,Matches
Jordan Silkowitz,us USA,GK,25,23,23,"2,070",23,0,0,0,0,0,0,2,0,0.3,0.3,0,0.3,0,0,0,0,0,0,0,0,0.01,0,0.01,0.01,0.01,Matches
Alyssa Malonson,us USA,DF,26,25,21,"1,864",20.7,1,5,6,1,0,0,4,0,0.7,0.7,2.8,3.5,45,92,79,0.05,0.24,0.29,0.05,0.29,0.03,0.13,0.17,0.03,0.17,Matches
Racheal Kundananji,zm ZAM,"FW,MF",25,24,20,"1,871",20.8,4,4,8,4,0,0,6,0,6.5,6.5,6.2,12.7,71,38,173,0.19,0.19,0.38,0.19,0.38,0.31,0.3,0.61,0.31,0.61,Matches
Joelle Anderson,us USA,DF,27,19,14,"1,241",13.8,1,2,3,1,0,0,2,0,0.6,0.6,0.3,0.9,3,48,1,0.07,0.15,0.22,0.07,0.22,0.05,0.02,0.07,0.05,0.07,Matches
Karlie Lema,us USA,"FW,MF",22,23,14,"1,234",13.7,2,1,3,2,0,0,1,0,2.7,2.7,1.6,4.3,31,16,90,0.15,0.07,0.22,0.15,0.22,0.2,0.11,0.31,0.2,0.31,Matches
Rachel Hill,us USA,"FW,MF",30,22,14,"1,186",13.2,2,0,2,2,0,0,3,0,3.8,3.8,1.4,5.2,24,34,83,0.15,0,0.15,0.15,0.15,0.29,0.11,0.39,0.29,0.39,Matches
Caroline Conti,us USA,"MF,FW",24,20,13,"1,209",13.4,3,3,6,0,3,3,3,0,3.3,1.1,1.4,2.5,9,56,42,0.22,0.22,0.45,0,0.22,0.25,0.1,0.35,0.09,0.19,Matches
Abby Dahlkemper,us USA,DF,32,13,13,"1,170",13,0,0,0,0,0,0,2,0,0.8,0.8,0.3,1.1,2,38,2,0,0,0,0,0,0.07,0.02,0.09,0.07,0.09,Matches
Kiki Pickett,us USA,MF,26,19,13,"1,157",12.9,2,0,2,2,0,0,4,0,0.2,0.2,0.3,0.5,2,57,12,0.16,0,0.16,0.16,0.16,0.02,0.02,0.04,0.02,0.04,Matches
Dorian Bailey,us USA,MF,28,22,12,"1,188",13.2,0,0,0,0,0,0,3,0,0.8,0.8,1.4,2.2,14,48,38,0,0,0,0,0,0.06,0.1,0.16,0.06,0.16,Matches
Hannah Bebar,us USA,MF,24,16,11,960,10.7,0,1,1,0,0,0,1,0,0.5,0.5,1.8,2.3,10,65,14,0,0.09,0.09,0,0.09,0.05,0.17,0.22,0.05,0.22,Matches
Tess Boade,us USA,"MF,FW",26,18,10,939,10.4,0,0,0,0,0,0,0,0,1.4,1.4,1.8,3.3,12,36,41,0,0,0,0,0,0.14,0.18,0.31,0.14,0.31,Matches
Penelope Hocking,us USA,"MF,FW",25,17,9,819,9.1,6,1,7,6,0,0,1,0,5.3,5.3,0.9,6.1,13,24,52,0.66,0.11,0.77,0.66,0.77,0.58,0.1,0.68,0.58,0.68,Matches
Sydney Collins,ca CAN,DF,26,8,7,675,7.5,0,0,0,0,0,0,1,0,0,0,0,0,3,17,0,0,0,0,0,0,0,0,0,0,0,Matches
Kelli Hubly,us USA,DF,31,9,7,653,7.3,1,0,1,1,0,0,1,0,0.5,0.5,0.1,0.6,0,9,1,0.14,0,0.14,0.14,0.14,0.07,0.02,0.09,0.07,0.09,Matches
Asisat Oshoala,ng NGA,FW,31,12,5,462,5.1,0,0,0,0,0,0,1,0,0.9,0.9,0.3,1.2,6,8,33,0,0,0,0,0,0.17,0.06,0.23,0.17,0.23,Matches
Brooklyn Courtnall,ca CAN,DF,22,6,5,451,5,0,0,0,0,0,0,0,0,0,0,0,0,2,20,2,0,0,0,0,0,0,0.01,0.01,0,0.01,Matches
Madeline Moreau,us USA,"DF,MF",24,14,4,386,4.3,0,0,0,0,0,0,1,0,0.7,0.7,0.2,0.9,10,11,16,0,0,0,0,0,0.16,0.05,0.21,0.16,0.21,Matches
Jamie Shepherd,us USA,MF,25,10,3,271,3,0,0,0,0,0,0,1,0,0,0,0.1,0.1,1,6,2,0,0,0,0,0,0,0.04,0.04,0,0.04,Matches
Emily Menges,us USA,DF,33,5,3,260,2.9,0,0,0,0,0,0,1,0,0,0,0,0,2,17,0,0,0,0,0,0,0,0,0,0,0,Matches
Emmie Allen,us USA,GK,22,2,2,180,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,Matches
Catherine Paulson,us USA,"FW,DF",23,6,1,96,1.1,0,0,0,0,0,0,0,0,0.2,0.2,0,0.2,1,1,4,0,0,0,0,0,0.14,0,0.14,0.14,0.14,Matches
Jordan Brewster,us USA,DF,26,1,1,25,0.3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,Matches
Leah Freeman,us USA,GK,23,0,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,Matches
Melissa Lowder,us USA,GK,28,0,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,Matches
